Tid (s),C1,C2
1002,55.8,56.5
1003,56.3,56.7
1004,56.9,56.8
1005,55.4,56.6
1006,56.4,56.2
1007,57.1,58
1008,56.4,57.2
1009,54.8,56.5
1010,55.1,53.7
1011,56.3,56
1012,56.2,55.7
1013,55.7,54.9
1014,55.1,54.7
1015,56.1,56.5
1016,58,55.6
1017,57.8,55.9
1018,56.9,55.6
1019,55.9,54.5
1020,56.4,54.8
1021,57.3,56.3
1022,55.4,53.8
1023,56.2,54.1
1024,55.3,54.7
1025,55,54.3
1026,56.5,54.8
1027,58.4,57
1028,57.4,57
1029,55.8,56.5
1030,54.9,54.6
1031,55.9,55.6
1032,55.4,55.3
1033,55.3,55
1034,55.5,54.9
1035,54,52.8
1036,53.7,52.9
1037,55.6,53.6
1038,59.3,54.8
1039,57.8,55.6
1040,55.9,54.7
1041,56,53.7
1042,55.3,55.2
1043,54.7,53.6
1044,54,54.1
1045,55.2,54.6
1046,56.5,54.4
1047,56.9,56.3
1048,57.3,55.3
1049,56.9,55.8
1050,57.3,57.3
1051,57.5,56.8
1052,58.3,56.2
1053,58,56.3
1054,57.3,56.7
1055,58.3,55.3
1056,56.3,55.9
1057,56.4,54.4
1058,56.1,53.5
1059,56.5,54.2
1060,57.4,54.7
1061,57.8,55.9
1062,55.6,54
1063,57.1,54.5
1064,55.1,55.7
1065,50.2,51
1066,51.8,50.4
1067,55.1,53.4
1068,56.2,54.4
1069,55.6,53.7
1070,55.8,53.4
1071,54.1,54
1072,54.6,52.7
1073,56.3,53.9
1074,55.8,55.6
1075,56.3,55.3
1076,57,55.8
1077,56.8,54.6
1078,55.3,55.2
1079,55.2,52.6
1080,55.7,55
1081,55.9,55.8
1082,55.7,56
1083,56.4,57.7
1084,56.7,57.5
1085,56.2,57.2
1086,54.8,55.8
1087,56.2,54.6
1088,55.5,56.9
1089,56.8,56.7
1090,56,56.4
1091,57.6,58.2
1092,56.6,56.4
1093,57.8,58
1094,56.5,58
1095,56.3,56
1096,56.6,60.2
1097,55.8,57.9
1098,56.7,58.1
1099,57.1,59.4
1100,56.3,57.8
1101,54.6,55.2
1102,55.3,54.8
1103,60.4,56.5
1104,61,59.5
1105,59.5,59.1
1106,61.3,59.5
1107,59.7,59.8
1108,60.5,60
1109,59.3,59.3
1110,56.1,59
1111,58.4,59.2
1112,57,59.1
1113,55.3,56.5
1114,57.1,55.7
1115,59.4,57.6
1116,58.7,58.2
1117,57.8,55.9
1118,55.3,56.1
1119,53.8,53.9
1120,58.3,57.3
1121,55.5,59.1
1122,56.3,53.8
1123,56.7,57.1
1124,61,59.9
1125,55.4,55.7
1126,56.5,56
1127,56.1,57.4
1128,53.2,54
1129,54.4,54.5
1130,55.5,57
1131,56.5,56.6
1132,55.7,57.8
1133,56.7,56.9
1134,55.7,55.3
1135,53.6,54.7
1136,54.2,54.3
1137,53.8,53.3
1138,55.3,53.5
1139,56.2,55.4
1140,56,55.2
1141,57.3,55.4
1142,58.1,57.6
1143,57.9,58
1144,57.7,56.4
1145,58.8,59.9
1146,56.1,56.1
1147,56.2,57.8
1148,58.4,57.4
1149,56.7,56
1150,51.7,51.3
1151,50.3,50.6
1152,51.3,51
1153,51.1,51.9
1154,51,51.8
1155,51.1,51.9
1156,51.2,50.8
1157,51,50.5
1158,50.8,50.5
1159,50.2,50.1
1160,52.1,51.2
1161,53.5,52.2
1162,54.5,52.1
1163,56.3,56
1164,54.9,53.1
1165,55.1,53.2
1166,56.4,53.9
1167,57.7,55.8
1168,56.3,55
1169,55.5,54.7
1170,56.6,54.8
1171,58.2,56.6
1172,57.7,57.5
1173,57.1,56.9
1174,60.5,56.9
1175,62,60.6
1176,61.2,58.9
1177,59.3,57.8
1178,59,56.7
1179,59.2,57
1180,57.4,56
1181,61.3,57.6
1182,60.8,58.7
1183,58.8,56.4
1184,58,56.8
1185,56.9,55
1186,55.3,53.8
1187,59.7,56.2
1188,56.5,56.1
1189,54.7,55.3
1190,55.3,53.5
1191,54.6,53.6
1192,54.2,53.3
1193,53.9,54.1
1194,54.8,54.2
1195,53.5,53.4
1196,53.3,53.2
1197,54.4,55.3
1198,52.9,54
1199,54,53.1
1200,53.8,56.1
1201,53.3,53.7
1202,54.4,54.7
1203,52.2,55.6
1204,50.5,52
1205,52.2,53.1
1206,51.2,51.5
1207,52.5,51.9
1208,56.7,55.5
1209,57.7,57.9
1210,60.1,59.4
1211,59.8,60.1
1212,56.6,60.7
1213,56.8,56.7
1214,55.6,57.5
1215,56.1,56.2
1216,56.4,56.5
1217,54.9,56.3
1218,55.7,56.4
1219,54.7,54.6
1220,57.3,55.1
1221,55.3,57.3
1222,55.1,54.6
1223,57.4,55.5
1224,58.1,56.3
1225,57.3,55.3
1226,56.8,54.3
1227,56.7,54.2
1228,56.8,53.1
1229,57,55.5
1230,57.1,55.7
1231,56.6,55.7
1232,57.5,56.1
1233,56.5,56.1
1234,57.4,56.1
1235,56,54.5
1236,55.2,54.5
1237,57.9,57.5
1238,59.1,57.4
1239,57.7,57.3
1240,58.3,57.8
1241,57.5,57.3
1242,58.7,57.5
1243,57,55.3
1244,58,57.5
1245,57.9,58
1246,57,57.9
1247,55.5,57
1248,59.4,56.2
1249,58.9,56.6
1250,55.5,55
1251,57,56.8
1252,57.8,57.7
1253,56.9,58.2
1254,58.5,58.7
1255,58.1,57.7
1256,56.8,55.4
1257,55.9,54.7
1258,53.8,53.6
1259,52.6,51
1260,55.9,53.2
1261,56.1,55.4
1262,56.9,55.5
1263,57.5,56.2
1264,56,56
1265,55.2,53.6
1266,57.3,55.6
1267,57.5,55.9
1268,58.9,58.1
1269,57.6,56.4
1270,59.8,56.8
1271,58.7,57.7
1272,58,55.1
1273,59.8,58
1274,60.8,56.9
1275,56,54.4
1276,56.3,54.3
1277,58.1,54.7
1278,58.1,57.9
1279,53.2,52.3
1280,56,53
1281,55.4,54.8
1282,57.2,54.7
1283,56.2,54.7
1284,54.2,52.5
1285,56.1,52.3
1286,54.3,53.6
1287,53,53.4
1288,54.8,54
1289,54.5,54.1
1290,51.6,51.5
1291,53.7,51.3
1292,57,55.2
1293,57.2,56.4
1294,54.5,54.7
1295,55.7,52.9
1296,56.9,55.8
1297,55.3,54.6
1298,53.9,52.5
1299,54.7,51.4
1300,56.3,54.9
1301,56.5,55.7
1302,57.7,54.4
1303,58.3,56.8
1304,56.5,57.2
1305,57.4,55.1
1306,57.5,56.3
1307,57.6,56.3
1308,56.7,55.4
1309,56.4,55.3
1310,59.1,57.4
1311,59.6,58.9
1312,58.6,58.1
1313,60.4,58.7
1314,57.9,58
1315,59.3,57.9
1316,59.8,58.9
1317,58.1,58.2
1318,56.1,56.9
1319,57.3,55.9
1320,57.3,59
1321,54.8,54.2
1322,55.1,54.8
1323,56.4,56.9
1324,56.5,56.1
1325,54.6,56.4
1326,55.7,54.5
1327,57.4,54.6
1328,57.3,56.7
1329,56.5,54.3
1330,57.7,56
1331,57.4,55
1332,60.8,58.5
1333,54.6,57.3
1334,51.8,53.6
1335,52.4,54
1336,51.9,52.1
1337,57.3,55.1
1338,55.7,57.3
1339,55.6,55.5
1340,55.9,56.4
1341,55.2,55.1
1342,56.6,56.4
1343,54.4,54.1
1344,54.9,54.3
1345,57.2,56.2
1346,53.5,53.3
1347,56.1,55.6
1348,57,57.5
1349,55.5,54.4
1350,56.9,56.3
1351,57.4,56.6
1352,55.4,55.7
1353,55.8,55.8
1354,56,54.7
1355,56,56.9
1356,54.4,54
1357,54.6,55.4
1358,50.5,50.3
1359,49.1,49.5
1360,49.9,50.9
1361,50.7,50.5
1362,51.6,51.3
1363,53.6,51.1
1364,56.1,55.3
1365,54.3,54.5
1366,53.1,51.2
1367,54.2,53.2
1368,53,52
1369,56.9,53.4
1370,59.8,58
1371,57.7,56.9
1372,57.9,56.1
1373,57.2,54.8
1374,55.1,54.9
