Tid (s),C1,C2
473,58.1,54.3
474,58.3,53.7
475,58.3,54.2
476,58.2,57.6
477,58,54.4
478,59.5,53.8
479,59.2,53.5
480,59.1,52.8
481,59.4,53.2
482,58.4,52.9
483,58.5,52.7
484,59.9,53.9
485,61.3,52.6
486,59,51.5
487,60.3,52.3
488,59.1,51
489,58.4,50.2
490,59,51
491,60,51.5
492,60.5,50.6
493,59.1,50.4
494,59.1,51.6
495,58,50.2
496,59,51
497,59.4,51.8
498,58.3,50.6
499,57.4,51.1
500,56.5,47.9
501,58.3,50.9
502,58.1,51.4
503,57.9,51.8
504,57.4,52
505,59.6,53.8
506,57.8,50.8
507,58.3,51.5
508,57.8,51.2
509,58.4,49.5
510,58.3,50
511,57.8,50.3
512,58.6,50
513,58.8,50.9
514,59.4,51
515,57.7,49.3
516,59.6,49.9
517,54.9,49.4
518,55.1,47.2
519,56.5,48.5
520,57.5,49.8
521,54.9,53.3
522,58.3,49.8
523,58.7,50.2
524,58.5,50.8
525,59.2,51.7
526,60.9,53.6
527,61.1,55.4
528,61.8,55.4
529,60.3,54.1
530,60.8,53.9
531,59.8,53.6
532,59.8,52.7
533,59.8,54.2
534,59.2,54.4
535,59.7,56
536,60.2,56.3
537,58.5,58.9
538,57.9,53.5
539,59.9,53.2
540,60.6,52.8
541,60.9,52.9
542,61.1,52.9
543,62,54.1
544,62.5,55
545,62.2,55
546,62.8,55.5
547,63.4,56.2
548,63.6,56.1
549,63.9,55.8
550,64.3,56.2
551,63.5,55.8
552,62.9,55.6
553,62.8,55.4
554,61.6,55.1
555,61.6,54.3
556,61.7,54.1
557,61.4,53.9
558,61.2,54.3
559,61.1,53.2
560,60.1,53.1
561,59.8,52.8
562,59.6,52.1
563,59.2,51.1
564,58,50.5
565,57.6,50.1
566,57.4,50.4
567,56.7,50.9
568,57.2,49.6
569,56.6,49.3
570,58.2,49.8
571,56.9,49.9
572,57.5,49.4
573,55.1,48.9
574,55,47.6
575,51.2,45.2
576,56.7,46
577,57,47.6
578,56.1,48.3
579,58.2,48.8
580,54.6,47.8
581,56.2,48.4
582,56,48.6
583,55.5,46.9
584,56.8,48
585,55.6,47.5
